group_id,service_time
2,00:02:09
5,00:02:00
8,00:02:03
11,00:04:34
13,00:04:00
14,00:03:27
31,00:02:02
32,00:02:06
35,00:02:12
44,00:03:03
47,00:01:33
48,00:02:34
53,00:02:35
57,00:03:28
64,00:01:29
65,00:01:39
66,00:01:31
69,00:02:37
71,00:02:31
76,00:01:57
82,00:03:11
86,00:02:59
89,00:03:26
97,00:03:54
98,00:05:17
101,00:02:13
107,00:02:54
113,00:01:05
114,00:00:54
115,00:00:57
117,00:03:29
118,00:01:07
121,00:02:27
122,00:03:31
124,00:00:43
131,00:01:45
135,00:01:40
141,00:02:18
146,00:01:58
148,00:01:45
149,00:03:52
160,00:04:23
161,00:03:06
163,00:01:45
167,00:04:20
173,00:03:28
179,00:03:16
185,00:02:21
191,00:01:52
192,00:02:56
194,00:00:38
199,00:02:23
201,00:01:23
203,00:02:02
212,00:08:56
215,00:02:10
218,00:03:09
221,00:01:43
228,00:04:05
233,00:02:27
237,00:03:26
240,00:04:27
242,00:01:24
244,00:02:32
249,00:01:18
251,00:02:05
253,00:01:23
256,00:01:42
257,00:01:59
261,00:02:15
266,00:01:43
267,00:01:42
268,00:02:13
276,00:03:15
281,00:02:27
282,00:01:34
283,00:02:06
285,00:05:42
288,00:01:58
294,00:07:14
295,00:02:10
297,00:01:29
301,00:06:03
307,00:01:03
310,00:01:18
311,00:02:52
313,00:01:30
318,00:03:11
324,00:02:06
326,00:03:01
331,00:02:34
333,00:02:57
339,00:03:06
340,00:02:04
346,00:04:33
348,00:01:38
353,00:02:41
