time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,5,1
10:50 - 11:00,9,3
11:00 - 11:10,21,8
11:10 - 11:20,27,9
11:20 - 11:30,35,14
11:30 - 11:40,40,15
11:40 - 11:50,34,13
11:50 - 12:00,26,10
12:00 - 12:10,12,6
12:10 - 12:20,11,6
12:20 - 12:30,15,5
12:30 - 12:40,17,5
12:40 - 12:50,26,9
12:50 - 13:00,31,9
13:00 - 13:10,43,13
13:10 - 13:20,38,13
13:20 - 13:30,51,16
13:30 - 13:40,46,15
13:40 - 13:50,40,14
13:50 - 14:00,31,12
14:00 - 14:10,23,6
14:10 - 14:20,13,4
14:20 - 14:30,9,3
14:30 - 14:40,8,4
14:40 - 14:50,6,3
14:50 - 15:00,12,5
15:00 - 15:10,11,3
15:10 - 15:20,19,6
15:20 - 15:30,20,7
15:30 - 15:40,23,9
15:40 - 15:50,25,8
15:50 - 16:00,25,9
16:00 - 16:10,27,11
16:10 - 16:20,23,7
16:20 - 16:30,19,7
16:30 - 16:40,18,7
16:40 - 16:50,17,7
16:50 - 17:00,15,6
17:00 - 17:10,18,5
17:10 - 17:20,20,7
17:20 - 17:30,24,8
17:30 - 17:40,21,9
17:40 - 17:50,22,8
17:50 - 18:00,15,5
18:00 - 18:10,11,5
18:10 - 18:20,8,2
18:20 - 18:30,3,1
18:30 - 18:40,4,1
