time_band,groups_served,groups_rejected
10:40 - 10:50,1,0
10:50 - 11:00,3,0
11:00 - 11:10,5,0
11:10 - 11:20,8,2
11:20 - 11:30,4,8
11:30 - 11:40,2,12
11:40 - 11:50,3,6
11:50 - 12:00,3,8
12:00 - 12:10,3,1
12:10 - 12:20,4,0
12:20 - 12:30,3,2
12:30 - 12:40,5,3
12:40 - 12:50,5,2
12:50 - 13:00,4,5
13:00 - 13:10,4,10
13:10 - 13:20,6,8
13:20 - 13:30,0,16
13:30 - 13:40,4,12
13:40 - 13:50,5,7
13:50 - 14:00,4,6
14:00 - 14:10,4,2
14:10 - 14:20,3,0
14:20 - 14:30,2,0
14:30 - 14:40,2,0
14:40 - 14:50,3,0
14:50 - 15:00,3,0
15:00 - 15:10,4,0
15:10 - 15:20,6,0
15:20 - 15:30,5,0
15:30 - 15:40,5,0
15:40 - 15:50,8,0
15:50 - 16:00,6,3
16:00 - 16:10,3,5
16:10 - 16:20,2,4
16:20 - 16:30,4,2
16:30 - 16:40,3,3
16:40 - 16:50,5,1
16:50 - 17:00,5,1
17:00 - 17:10,4,3
17:10 - 17:20,4,3
17:20 - 17:30,4,3
17:30 - 17:40,3,4
17:40 - 17:50,4,2
17:50 - 18:00,1,5
18:10 - 18:20,2,1
18:00 - 18:10,4,0
18:20 - 18:30,1,0
18:30 - 18:40,1,0
