time_band,no_of_people,no_of_groups
10:40 - 10:50,4,1
10:50 - 11:00,9,3
11:00 - 11:10,20,5
11:10 - 11:20,28,10
11:20 - 11:30,33,12
11:30 - 11:40,39,14
11:40 - 11:50,32,9
11:50 - 12:00,28,11
12:00 - 12:10,12,4
12:10 - 12:20,13,4
12:20 - 12:30,16,5
12:30 - 12:40,18,8
12:40 - 12:50,26,7
12:50 - 13:00,30,9
13:00 - 13:10,42,14
13:10 - 13:20,38,14
13:20 - 13:30,53,16
13:30 - 13:40,45,16
13:40 - 13:50,41,12
13:50 - 14:00,31,10
14:00 - 14:10,22,6
14:10 - 14:20,13,3
14:20 - 14:30,9,2
14:30 - 14:40,7,2
14:40 - 14:50,5,3
14:50 - 15:00,11,3
15:00 - 15:10,12,4
15:10 - 15:20,16,6
15:20 - 15:30,20,5
15:30 - 15:40,22,5
15:40 - 15:50,27,8
15:50 - 16:00,25,9
16:00 - 16:10,28,8
16:10 - 16:20,21,6
16:20 - 16:30,21,6
16:30 - 16:40,17,6
16:40 - 16:50,17,6
16:50 - 17:00,14,6
17:00 - 17:10,21,7
17:10 - 17:20,19,7
17:20 - 17:30,25,7
17:30 - 17:40,22,7
17:40 - 17:50,21,6
17:50 - 18:00,15,6
18:00 - 18:10,10,4
18:10 - 18:20,11,3
18:20 - 18:30,5,1
18:30 - 18:40,3,1
