time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:30 - 10:40,1,1
10:40 - 10:50,5,2
10:50 - 11:00,9,6
11:00 - 11:10,18,8
11:10 - 11:20,29,11
11:20 - 11:30,34,14
11:30 - 11:40,40,16
11:40 - 11:50,35,13
11:50 - 12:00,26,13
12:00 - 12:10,13,9
12:10 - 12:20,12,5
12:20 - 12:30,16,6
12:30 - 12:40,18,8
12:40 - 12:50,24,12
12:50 - 13:00,32,13
13:00 - 13:10,42,17
13:10 - 13:20,40,19
13:20 - 13:30,51,22
13:30 - 13:40,43,21
13:40 - 13:50,42,20
13:50 - 14:00,32,17
14:00 - 14:10,21,12
14:10 - 14:20,13,5
14:20 - 14:30,10,4
14:30 - 14:40,7,4
14:40 - 14:50,6,3
14:50 - 15:00,12,6
15:00 - 15:10,10,7
15:10 - 15:20,19,8
15:20 - 15:30,22,9
15:30 - 15:40,23,13
15:40 - 15:50,25,12
15:50 - 16:00,25,13
16:00 - 16:10,26,12
16:10 - 16:20,23,8
16:20 - 16:30,19,11
16:30 - 16:40,18,9
16:40 - 16:50,16,9
16:50 - 17:00,15,9
17:00 - 17:10,19,7
17:10 - 17:20,19,10
17:20 - 17:30,24,10
17:30 - 17:40,22,9
17:40 - 17:50,22,11
17:50 - 18:00,14,6
18:00 - 18:10,11,5
18:10 - 18:20,9,5
18:20 - 18:30,4,2
18:30 - 18:40,4,3
18:40 - 18:50,3,1
