time_band,no_of_people,no_of_groups
10:30 - 10:40,3,1
10:40 - 10:50,4,1
10:50 - 11:00,8,2
11:00 - 11:10,20,6
11:10 - 11:20,28,9
11:20 - 11:30,34,11
11:30 - 11:40,40,11
11:40 - 11:50,32,10
11:50 - 12:00,27,9
12:00 - 12:10,12,4
12:10 - 12:20,11,4
12:20 - 12:30,15,5
12:30 - 12:40,17,6
12:40 - 12:50,24,9
12:50 - 13:00,29,10
13:00 - 13:10,41,13
13:10 - 13:20,39,11
13:20 - 13:30,53,17
13:30 - 13:40,44,14
13:40 - 13:50,39,14
13:50 - 14:00,32,9
14:00 - 14:10,22,7
14:10 - 14:20,12,4
14:20 - 14:30,11,3
14:30 - 14:40,7,2
14:40 - 14:50,5,2
14:50 - 15:00,10,3
15:00 - 15:10,11,4
15:10 - 15:20,17,5
15:20 - 15:30,21,7
15:30 - 15:40,21,7
15:40 - 15:50,26,8
15:50 - 16:00,26,7
16:00 - 16:10,29,10
16:10 - 16:20,22,9
16:20 - 16:30,19,6
16:30 - 16:40,19,7
16:40 - 16:50,14,6
16:50 - 17:00,16,4
17:00 - 17:10,19,7
17:10 - 17:20,17,6
17:20 - 17:30,25,8
17:30 - 17:40,22,9
17:40 - 17:50,22,6
17:50 - 18:00,16,4
18:00 - 18:10,9,3
18:10 - 18:20,11,4
18:20 - 18:30,6,2
18:30 - 18:40,3,1
18:40 - 18:50,2,1
