arrival_time,wait_time
10:39:28,00:02:41
10:44:14,00:03:46
10:51:50,00:02:33
10:55:44,00:01:33
11:01:14,00:02:39
11:01:53,00:01:15
11:03:01,00:04:09
11:05:08,00:01:06
11:08:00,00:03:07
11:09:20,00:03:43
11:11:50,00:02:56
11:12:21,00:02:36
11:13:48,00:02:17
11:15:42,00:02:26
11:16:03,00:04:22
11:17:06,00:01:26
11:17:35,00:01:48
11:17:35,00:02:30
11:18:15,00:02:22
11:20:48,00:02:19
11:21:34,00:02:58
11:21:41,00:01:46
11:22:19,00:02:35
11:23:37,00:02:00
11:23:43,00:02:16
11:25:13,00:02:43
11:28:14,00:01:47
11:29:19,00:01:32
11:29:34,00:02:30
11:29:35,00:03:52
11:30:23,00:02:26
11:31:48,00:15:56
11:32:56,00:04:08
11:33:34,00:03:09
11:33:45,00:05:11
11:33:52,00:04:13
11:35:04,00:04:09
11:35:50,00:05:21
11:38:34,00:02:10
11:38:44,00:04:09
11:39:44,00:03:39
11:40:00,00:04:51
11:41:08,00:04:13
11:41:36,00:06:40
11:41:38,00:05:07
11:43:44,00:06:04
11:43:47,00:09:12
11:44:16,00:08:04
11:45:00,00:08:10
11:45:09,00:07:45
11:49:17,00:07:47
11:50:01,00:07:13
11:50:39,00:06:14
11:52:55,00:06:07
11:53:03,00:04:49
11:53:51,00:04:55
11:56:43,00:04:13
11:57:26,00:05:16
11:58:08,00:04:13
11:58:39,00:05:48
12:00:15,00:04:50
12:01:45,00:07:35
12:04:29,00:01:32
12:07:35,00:06:22
12:11:24,00:02:13
12:12:20,00:01:55
12:13:55,00:01:11
12:15:35,00:02:24
12:20:08,00:01:38
12:25:14,00:01:16
12:26:59,00:03:01
12:27:22,00:01:49
12:27:39,00:01:09
12:32:16,00:04:54
12:33:19,00:01:51
12:34:15,00:02:56
12:35:52,00:01:26
12:37:10,00:03:45
12:38:36,00:06:05
12:40:23,00:06:36
12:41:29,00:01:19
12:42:33,00:03:32
12:45:55,00:01:29
12:46:31,00:01:21
12:46:55,00:02:27
12:47:04,00:04:18
12:47:58,00:01:14
12:49:38,00:02:07
12:50:04,00:02:16
12:50:20,00:03:09
12:51:49,00:00:56
12:52:05,00:01:17
12:53:45,00:02:26
12:54:59,00:01:50
12:55:43,00:06:19
12:56:45,00:02:23
12:56:46,00:03:00
12:56:56,00:03:28
13:00:50,00:02:13
13:01:05,00:02:03
13:01:41,00:04:49
13:01:42,00:03:18
13:03:48,00:01:35
13:05:27,00:04:31
13:06:19,00:01:16
13:07:40,00:03:07
13:08:33,00:04:39
13:09:04,00:02:05
13:09:17,00:03:25
13:09:25,00:03:58
13:09:35,00:08:33
13:10:11,00:05:39
13:12:42,00:02:03
13:14:31,00:02:27
13:14:37,00:03:34
13:14:57,00:03:58
13:15:20,00:06:51
13:16:19,00:07:12
13:16:37,00:03:14
13:17:36,00:06:05
13:17:57,00:06:59
13:19:48,00:08:34
13:20:41,00:06:09
13:20:52,00:05:31
13:20:53,00:07:30
13:21:43,00:07:23
13:22:04,00:10:41
13:22:23,00:07:48
13:22:40,00:07:36
13:23:14,00:10:12
13:23:37,00:09:28
13:24:06,00:10:32
13:24:47,00:12:03
13:26:27,00:09:50
13:26:30,00:10:49
13:27:22,00:10:48
13:28:06,00:12:35
13:28:18,00:10:56
13:28:36,00:12:11
13:30:52,00:12:28
