time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,3,1
10:50 - 11:00,10,3
11:00 - 11:10,20,7
11:10 - 11:20,28,8
11:20 - 11:30,34,10
11:30 - 11:40,42,13
11:40 - 11:50,34,12
11:50 - 12:00,27,9
12:00 - 12:10,11,4
12:10 - 12:20,12,4
12:20 - 12:30,13,4
12:30 - 12:40,19,6
12:40 - 12:50,26,10
12:50 - 13:00,30,9
13:00 - 13:10,40,12
13:10 - 13:20,40,12
13:20 - 13:30,53,16
13:30 - 13:40,44,13
13:40 - 13:50,39,14
13:50 - 14:00,31,11
14:00 - 14:10,23,6
14:10 - 14:20,11,3
14:20 - 14:30,11,3
14:30 - 14:40,8,2
14:40 - 14:50,6,2
14:50 - 15:00,9,2
15:00 - 15:10,11,4
15:10 - 15:20,18,6
15:20 - 15:30,21,8
15:30 - 15:40,22,7
15:40 - 15:50,25,8
15:50 - 16:00,25,7
16:00 - 16:10,27,10
16:10 - 16:20,23,6
16:20 - 16:30,21,8
16:30 - 16:40,18,7
16:40 - 16:50,15,7
16:50 - 17:00,15,6
17:00 - 17:10,20,5
17:10 - 17:20,18,5
17:20 - 17:30,23,6
17:30 - 17:40,22,8
17:40 - 17:50,23,8
17:50 - 18:00,13,4
18:00 - 18:10,10,3
18:10 - 18:20,11,4
18:20 - 18:30,4,1
18:30 - 18:40,3,2
18:40 - 18:50,2,1
