group_id,service_time
10,00:01:12
14,00:06:47
19,00:01:43
22,00:03:56
26,00:01:46
33,00:06:25
41,00:05:52
45,00:04:46
48,00:05:59
51,00:07:16
54,00:02:58
65,00:05:00
69,00:05:18
78,00:00:55
79,00:02:21
82,00:02:11
94,00:01:33
95,00:03:44
97,00:02:28
104,00:02:36
108,00:04:56
122,00:02:57
123,00:02:07
128,00:02:32
131,00:01:50
133,00:04:42
139,00:01:49
144,00:02:31
151,00:02:49
154,00:02:59
155,00:03:29
169,00:03:46
170,00:06:16
172,00:02:52
175,00:09:46
188,00:05:34
196,00:03:20
198,00:01:23
202,00:01:57
205,00:07:09
216,00:01:02
222,00:01:58
227,00:04:06
232,00:02:48
233,00:01:34
243,00:01:36
249,00:06:04
250,00:01:49
257,00:03:08
263,00:01:03
264,00:02:38
267,00:01:36
286,00:02:16
301,00:03:07
303,00:06:01
309,00:01:19
310,00:02:11
319,00:01:47
328,00:02:05
329,00:02:44
332,00:02:50
339,00:02:00
342,00:02:28
344,00:00:58
345,00:01:15
362,00:04:02
364,00:05:03
371,00:05:40
372,00:03:46
377,00:06:32
387,00:05:16
391,00:01:47
394,00:01:25
395,00:04:59
409,00:01:57
418,00:05:28
421,00:03:59
424,00:05:17
428,00:02:56
440,00:05:30
448,00:03:19
