time,length
00:00:00,0
10:43:06,1
10:43:06,0
10:48:35,1
10:48:35,0
10:54:11,1
10:54:11,0
10:55:27,1
10:55:27,0
10:57:11,1
10:57:11,0
10:58:36,1
10:58:36,0
11:03:27,1
11:03:27,0
11:04:14,1
11:04:14,0
11:04:57,1
11:04:57,0
11:05:29,1
11:05:29,0
11:05:53,1
11:06:47,2
11:06:54,1
11:07:41,0
11:09:13,1
11:09:13,0
11:10:24,1
11:10:24,0
11:10:34,1
11:10:34,0
11:11:02,1
11:11:02,0
11:11:09,1
11:11:54,0
11:12:12,1
11:12:53,0
11:13:34,1
11:13:40,0
11:14:51,1
11:14:51,0
11:15:10,1
11:15:10,0
11:18:47,1
11:18:47,0
11:19:09,1
11:19:09,0
11:20:08,1
11:20:08,0
11:20:59,1
11:20:59,0
11:21:03,1
11:21:03,0
11:21:09,1
11:21:09,0
11:21:22,1
11:21:23,2
11:21:28,1
11:23:30,0
11:23:50,1
11:23:50,0
11:24:20,1
11:24:24,0
11:24:51,1
11:24:51,0
11:25:11,1
11:25:20,0
11:25:22,1
11:25:31,2
11:25:42,3
11:26:15,2
11:26:18,3
11:26:32,4
11:26:44,3
11:26:52,2
11:27:07,1
11:27:47,0
11:28:04,1
11:28:14,0
11:28:24,1
11:28:24,0
11:30:22,1
11:30:22,0
11:30:24,1
11:30:24,0
11:30:36,1
11:30:37,2
11:30:44,1
11:30:59,2
11:31:47,1
11:31:49,2
11:31:57,3
11:32:06,4
11:32:41,5
11:32:46,6
11:33:09,7
11:33:16,8
11:33:20,7
11:33:24,6
11:33:54,5
11:34:05,4
11:34:44,5
11:34:59,4
11:35:40,5
11:36:06,6
11:36:19,7
11:37:13,6
11:37:53,7
11:37:56,6
11:38:40,7
11:39:04,8
11:39:08,9
11:39:27,8
11:39:27,7
11:40:06,6
11:40:29,7
11:40:57,6
11:41:01,7
11:41:13,8
11:42:23,9
11:43:08,10
11:43:18,11
11:43:18,12
11:43:44,11
11:43:52,10
11:44:07,9
11:44:36,8
11:44:38,9
11:45:58,10
11:46:04,11
11:46:16,12
11:46:50,11
11:47:24,10
11:47:28,9
11:47:36,8
11:47:47,7
11:47:56,8
11:48:16,9
11:48:38,10
11:48:42,9
11:48:49,10
11:48:50,9
11:50:15,8
11:50:28,7
11:50:48,6
11:51:12,7
11:51:40,8
11:51:48,9
11:51:49,10
11:52:00,9
11:52:45,10
11:53:10,9
11:53:28,8
11:53:47,9
11:54:52,10
11:55:11,9
11:56:00,8
11:57:08,7
11:57:14,6
11:57:41,5
11:58:45,4
11:59:04,5
11:59:05,6
11:59:07,7
11:59:11,8
11:59:15,9
11:59:39,8
11:59:43,9
11:59:53,10
12:00:00,9
12:00:42,8
12:00:48,9
12:00:57,8
12:02:24,7
12:02:30,6
12:02:52,5
12:03:05,4
12:05:30,3
12:05:40,2
12:07:14,1
12:07:36,2
12:07:39,3
12:07:45,2
12:08:26,1
12:08:56,0
12:09:58,1
12:09:58,0
