time_band,no_of_people,no_of_groups
10:40 - 10:50,3,2
10:50 - 11:00,9,4
11:00 - 11:10,19,7
11:10 - 11:20,28,10
11:20 - 11:30,33,17
11:30 - 11:40,39,20
11:40 - 11:50,36,15
11:50 - 12:00,28,14
12:00 - 12:10,12,4
12:10 - 12:20,11,4
12:20 - 12:30,15,8
12:30 - 12:40,17,8
12:40 - 12:50,25,10
12:50 - 13:00,30,13
13:00 - 13:10,40,18
13:10 - 13:20,39,18
13:20 - 13:30,52,24
13:30 - 13:40,44,17
13:40 - 13:50,41,19
13:50 - 14:00,32,15
14:00 - 14:10,24,12
14:10 - 14:20,13,6
14:20 - 14:30,9,3
14:30 - 14:40,9,4
14:40 - 14:50,5,2
14:50 - 15:00,10,5
15:00 - 15:10,14,6
15:10 - 15:20,19,7
15:20 - 15:30,21,10
15:30 - 15:40,22,8
15:40 - 15:50,24,10
15:50 - 16:00,25,12
16:00 - 16:10,26,12
16:10 - 16:20,21,10
16:20 - 16:30,20,9
16:30 - 16:40,19,8
16:40 - 16:50,15,8
16:50 - 17:00,15,5
17:00 - 17:10,18,8
17:10 - 17:20,19,10
17:20 - 17:30,25,11
17:30 - 17:40,22,11
17:40 - 17:50,22,11
17:50 - 18:00,14,7
18:00 - 18:10,9,4
18:10 - 18:20,9,4
18:20 - 18:30,4,2
18:30 - 18:40,5,1
18:40 - 18:50,2,1
