group_id,service_time
1,00:01:32
3,00:05:11
4,00:03:43
6,00:01:39
8,00:01:10
10,00:01:55
11,00:02:19
12,00:03:17
14,00:01:35
16,00:02:19
17,00:03:07
18,00:03:26
20,00:02:17
23,00:01:33
24,00:02:33
26,00:02:25
28,00:04:03
29,00:01:30
32,00:02:32
34,00:01:30
36,00:01:05
40,00:02:55
43,00:02:17
47,00:02:11
62,00:06:07
64,00:02:29
65,00:04:31
67,00:01:14
69,00:01:48
70,00:03:38
76,00:01:46
83,00:02:24
84,00:01:14
87,00:01:27
88,00:02:20
90,00:02:26
91,00:02:37
98,00:05:32
99,00:04:05
105,00:01:26
108,00:01:43
109,00:02:11
110,00:02:38
111,00:02:25
117,00:05:36
118,00:03:29
123,00:04:16
124,00:01:43
126,00:04:04
129,00:01:19
134,00:02:12
138,00:02:44
139,00:01:42
149,00:02:07
154,00:02:54
157,00:01:32
158,00:02:08
164,00:02:21
169,00:05:11
173,00:03:19
182,00:02:41
186,00:01:58
189,00:02:57
191,00:01:39
193,00:01:54
198,00:02:48
208,00:01:01
217,00:02:33
223,00:04:03
230,00:02:37
232,00:02:35
233,00:03:05
237,00:01:37
238,00:02:32
241,00:01:07
249,00:02:42
254,00:03:44
257,00:02:57
258,00:01:49
259,00:01:20
260,00:01:52
263,00:02:05
266,00:02:29
267,00:01:12
269,00:01:46
273,00:02:29
274,00:00:44
276,00:04:49
278,00:02:30
279,00:04:45
281,00:03:29
283,00:02:23
284,00:02:55
285,00:02:06
286,00:01:54
288,00:03:21
289,00:00:53
290,00:01:44
291,00:04:30
293,00:02:14
295,00:01:48
296,00:02:13
297,00:02:13
298,00:02:07
300,00:04:34
303,00:02:54
306,00:03:19
309,00:04:43
312,00:02:42
313,00:01:50
315,00:01:47
316,00:07:26
320,00:01:54
323,00:03:57
329,00:02:27
335,00:02:41
336,00:03:13
340,00:03:56
343,00:03:20
348,00:02:35
351,00:02:37
354,00:02:29
358,00:04:02
366,00:01:29
368,00:01:41
369,00:01:06
371,00:01:17
372,00:00:43
373,00:01:44
377,00:01:09
379,00:01:15
382,00:06:59
385,00:01:53
387,00:02:15
389,00:03:00
390,00:02:15
391,00:05:58
397,00:06:38
399,00:01:23
400,00:01:54
402,00:02:20
403,00:01:39
406,00:03:49
408,00:01:13
409,00:01:51
411,00:02:31
413,00:02:49
414,00:03:55
417,00:01:55
419,00:04:36
420,00:00:47
424,00:01:25
431,00:05:29
432,00:04:41
441,00:01:55
442,00:01:45
446,00:01:39
447,00:02:13
449,00:02:20
450,00:01:53
451,00:01:50
455,00:02:26
456,00:01:23
457,00:01:34
458,00:03:09
460,00:03:10
462,00:01:52
463,00:02:25
464,00:02:46
467,00:03:49
470,00:06:03
472,00:01:46
474,00:01:19
