time_band,groups_served,groups_rejected
10:20 - 10:30,1,0
10:30 - 10:40,1,0
10:40 - 10:50,3,0
10:50 - 11:00,7,0
11:00 - 11:10,12,0
11:10 - 11:20,13,5
11:20 - 11:30,7,19
11:30 - 11:40,8,19
11:40 - 11:50,5,14
11:50 - 12:00,5,14
12:00 - 12:10,7,4
12:10 - 12:20,4,4
12:20 - 12:30,9,4
12:30 - 12:40,8,4
12:40 - 12:50,7,9
12:50 - 13:00,5,16
13:00 - 13:10,7,19
13:10 - 13:20,7,19
13:20 - 13:30,7,25
13:30 - 13:40,8,14
13:40 - 13:50,7,19
13:50 - 14:00,6,15
14:00 - 14:10,8,9
14:10 - 14:20,7,4
14:20 - 14:30,5,0
14:30 - 14:40,6,0
14:40 - 14:50,6,0
14:50 - 15:00,5,0
15:00 - 15:10,7,0
15:10 - 15:20,10,0
15:20 - 15:30,15,0
15:30 - 15:40,6,8
15:40 - 15:50,5,10
15:50 - 16:00,10,7
16:00 - 16:10,7,9
16:10 - 16:20,7,8
16:20 - 16:30,6,6
16:30 - 16:40,10,2
16:40 - 16:50,9,3
16:50 - 17:00,5,6
17:00 - 17:10,5,10
17:10 - 17:20,4,8
17:20 - 17:30,9,9
17:30 - 17:40,6,3
17:40 - 17:50,5,8
17:50 - 18:00,5,3
18:00 - 18:10,4,0
18:10 - 18:20,5,0
18:20 - 18:30,3,0
18:30 - 18:40,2,0
18:40 - 18:50,2,0
18:50 - 19:00,1,0
19:00 - 19:10,1,0
