time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:30 - 10:40,1,1
10:40 - 10:50,4,3
10:50 - 11:00,9,7
11:00 - 11:10,19,12
11:10 - 11:20,29,18
11:20 - 11:30,34,26
11:30 - 11:40,40,27
11:40 - 11:50,34,19
11:50 - 12:00,27,19
12:00 - 12:10,12,11
12:10 - 12:20,11,8
12:20 - 12:30,15,13
12:30 - 12:40,18,12
12:40 - 12:50,25,16
12:50 - 13:00,30,21
13:00 - 13:10,42,26
13:10 - 13:20,40,26
13:20 - 13:30,52,32
13:30 - 13:40,45,22
13:40 - 13:50,40,26
13:50 - 14:00,32,21
14:00 - 14:10,22,17
14:10 - 14:20,13,11
14:20 - 14:30,9,5
14:30 - 14:40,8,6
14:40 - 14:50,6,6
14:50 - 15:00,10,5
15:00 - 15:10,12,7
15:10 - 15:20,18,10
15:20 - 15:30,22,15
15:30 - 15:40,23,14
15:40 - 15:50,26,15
15:50 - 16:00,24,17
16:00 - 16:10,28,16
16:10 - 16:20,22,15
16:20 - 16:30,19,12
16:30 - 16:40,17,12
16:40 - 16:50,15,12
16:50 - 17:00,15,11
17:00 - 17:10,19,15
17:10 - 17:20,19,12
17:20 - 17:30,25,18
17:30 - 17:40,22,9
17:40 - 17:50,23,13
17:50 - 18:00,16,8
18:00 - 18:10,11,4
18:10 - 18:20,10,5
18:20 - 18:30,5,3
18:30 - 18:40,3,2
18:40 - 18:50,2,2
18:50 - 19:00,1,1
19:00 - 19:10,1,1
