arrival_time,in_queue_time
10:37:28,00:00:00
10:49:02,00:00:00
10:56:35,00:00:00
10:56:47,00:00:00
10:58:58,00:00:00
11:02:57,00:00:00
11:03:16,00:00:00
11:04:43,00:00:00
11:04:46,00:00:38
11:05:08,00:01:49
11:05:11,00:02:34
11:05:49,00:03:10
11:07:48,00:02:00
11:08:29,00:01:22
11:10:05,00:01:22
11:10:52,00:00:38
11:10:56,00:02:34
11:13:29,00:00:51
11:14:23,00:00:17
11:15:09,00:00:00
11:15:37,00:01:06
11:16:19,00:01:08
11:16:43,00:01:21
11:17:45,00:01:01
11:18:11,00:00:36
11:19:51,00:00:05
11:19:53,00:00:33
11:20:00,00:00:36
11:20:01,00:01:10
11:20:20,00:01:54
11:20:39,00:02:39
11:21:13,00:02:33
11:21:33,00:02:48
11:23:56,00:02:56
11:25:03,00:02:12
11:25:49,00:01:27
11:25:59,00:04:05
11:27:06,00:03:45
11:28:08,00:04:01
11:28:24,00:05:50
11:28:40,00:05:45
11:29:40,00:04:45
11:30:02,00:06:11
11:30:30,00:07:06
11:31:08,00:07:08
11:32:45,00:06:39
11:32:46,00:06:50
11:34:31,00:06:07
11:34:38,00:06:34
11:35:00,00:08:04
11:35:13,00:09:09
11:35:42,00:09:37
11:36:31,00:09:35
11:37:37,00:09:01
11:38:32,00:08:28
11:38:33,00:09:26
11:38:37,00:09:59
11:38:41,00:10:56
11:41:11,00:08:27
11:41:14,00:08:59
11:42:42,00:08:45
11:43:19,00:09:33
11:45:05,00:08:21
11:45:53,00:07:41
11:46:10,00:08:21
11:46:19,00:09:49
11:46:25,00:10:30
11:46:29,00:10:47
11:46:44,00:11:35
11:47:02,00:13:46
11:47:53,N/A
11:48:14,00:12:55
11:49:01,00:13:25
11:49:16,N/A
11:49:33,N/A
11:50:56,00:12:41
11:52:26,00:13:40
11:53:55,00:13:36
11:54:11,00:14:04
11:56:01,00:12:31
11:56:05,00:13:29
11:56:10,00:13:29
11:57:14,00:13:05
11:57:49,00:13:35
11:58:04,00:14:18
11:58:50,00:14:11
12:01:06,00:13:42
12:03:21,00:11:54
12:03:25,00:14:01
12:06:38,00:12:19
12:06:52,00:12:34
12:13:44,00:07:35
12:16:18,00:06:14
12:19:03,00:04:16
12:20:48,00:03:15
12:21:50,00:03:42
12:23:53,00:03:33
12:24:15,00:04:12
12:25:59,00:03:07
12:28:33,00:01:36
12:28:54,00:02:38
12:29:42,00:02:14
