time_band,no_of_people,no_of_groups
10:40 - 10:50,5,2
10:50 - 11:00,7,2
11:00 - 11:10,21,7
11:10 - 11:20,30,9
11:20 - 11:30,34,12
11:30 - 11:40,39,12
11:40 - 11:50,33,14
11:50 - 12:00,29,9
12:00 - 12:10,15,5
12:10 - 12:20,13,5
12:20 - 12:30,16,6
12:30 - 12:40,17,5
12:40 - 12:50,25,9
12:50 - 13:00,29,10
13:00 - 13:10,43,14
13:10 - 13:20,38,13
13:20 - 13:30,52,20
13:30 - 13:40,43,14
13:40 - 13:50,41,14
13:50 - 14:00,31,10
14:00 - 14:10,24,7
14:10 - 14:20,14,6
14:20 - 14:30,9,3
14:30 - 14:40,9,2
14:40 - 14:50,6,3
14:50 - 15:00,11,4
15:00 - 15:10,12,3
15:10 - 15:20,18,6
15:20 - 15:30,22,6
15:30 - 15:40,23,7
15:40 - 15:50,24,7
15:50 - 16:00,23,8
16:00 - 16:10,29,9
16:10 - 16:20,23,8
16:20 - 16:30,19,5
16:30 - 16:40,19,7
16:40 - 16:50,16,6
16:50 - 17:00,14,4
17:00 - 17:10,21,8
17:10 - 17:20,17,7
17:20 - 17:30,25,7
17:30 - 17:40,23,9
17:40 - 17:50,22,7
17:50 - 18:00,16,5
18:00 - 18:10,9,3
18:10 - 18:20,9,5
18:20 - 18:30,5,1
18:30 - 18:40,3,1
18:40 - 18:50,3,1
