group_id,size,status,time_band,arrival_time,in_queue_time,service_start_time,service_time,wait_time,served_by
1,2,Served,10:40 - 10:50,10:48:11,00:00:00,10:48:11,00:02:26,00:02:26,h1
2,3,Served,10:40 - 10:50,10:43:03,00:00:00,10:43:03,00:01:08,00:01:08,h1
3,3,Served,10:50 - 11:00,10:59:48,00:00:00,10:59:48,00:02:17,00:02:17,h1
4,4,Served,10:50 - 11:00,10:50:41,00:00:00,10:50:41,00:02:24,00:02:24,h1
5,4,Served,11:00 - 11:10,11:09:50,00:00:00,11:09:50,00:04:09,00:04:09,k1
6,3,Served,11:00 - 11:10,11:04:51,00:00:00,11:04:51,00:02:15,00:02:15,h2
7,3,Served,11:00 - 11:10,11:00:45,00:00:00,11:00:45,00:01:25,00:01:25,h2
8,2,Served,11:00 - 11:10,11:02:49,00:00:00,11:02:49,00:02:19,00:02:19,h1
9,3,Served,11:00 - 11:10,11:08:56,00:00:00,11:08:56,00:02:51,00:02:51,h2
10,1,Served,11:00 - 11:10,11:06:19,00:00:00,11:06:19,00:01:36,00:01:36,h1
11,5,Served,11:00 - 11:10,11:08:08,00:00:00,11:08:08,00:09:45,00:09:45,h1
12,3,Served,11:10 - 11:20,11:15:00,00:00:00,11:15:00,00:03:00,00:03:00,k1
13,2,Served,11:10 - 11:20,11:12:15,00:00:00,11:12:15,00:01:12,00:01:12,h2
14,5,Served,11:10 - 11:20,11:14:36,00:00:00,11:14:36,00:04:15,00:04:15,h2
15,2,Served,11:10 - 11:20,11:19:51,00:00:00,11:19:51,00:01:55,00:01:55,k1
16,2,Served,11:10 - 11:20,11:15:33,00:00:00,11:15:33,00:06:16,00:06:16,k2
17,2,Served,11:10 - 11:20,11:19:36,00:00:00,11:19:36,00:03:01,00:03:01,h2
18,5,Served,11:10 - 11:20,11:19:33,00:00:00,11:19:33,00:01:33,00:01:33,h1
19,4,Served,11:10 - 11:20,11:10:57,00:00:00,11:10:57,00:02:18,00:02:18,k2
20,5,Served,11:10 - 11:20,11:13:08,00:00:00,11:13:08,00:02:39,00:02:39,k3
21,5,Served,11:20 - 11:30,11:24:00,00:00:00,11:24:00,00:00:45,00:00:45,k1
22,2,Served,11:20 - 11:30,11:27:17,00:00:00,11:27:17,00:01:33,00:01:33,k1
