time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,3,2
10:50 - 11:00,9,4
11:00 - 11:10,20,9
11:10 - 11:20,28,14
11:20 - 11:30,35,16
11:30 - 11:40,40,20
11:40 - 11:50,33,14
11:50 - 12:00,26,10
12:00 - 12:10,12,5
12:10 - 12:20,12,5
12:20 - 12:30,15,5
12:30 - 12:40,17,9
12:40 - 12:50,24,12
12:50 - 13:00,30,12
13:00 - 13:10,43,16
13:10 - 13:20,40,18
13:20 - 13:30,51,21
13:30 - 13:40,43,18
13:40 - 13:50,41,15
13:50 - 14:00,31,13
14:00 - 14:10,23,9
14:10 - 14:20,13,5
14:20 - 14:30,10,5
14:30 - 14:40,7,3
14:40 - 14:50,5,3
14:50 - 15:00,11,4
15:00 - 15:10,11,5
15:10 - 15:20,19,10
15:20 - 15:30,21,9
15:30 - 15:40,24,10
15:40 - 15:50,25,13
15:50 - 16:00,24,11
16:00 - 16:10,28,11
16:10 - 16:20,21,10
16:20 - 16:30,20,10
16:30 - 16:40,18,8
16:40 - 16:50,15,7
16:50 - 17:00,16,7
17:00 - 17:10,20,10
17:10 - 17:20,19,9
17:20 - 17:30,24,10
17:30 - 17:40,23,12
17:40 - 17:50,22,10
17:50 - 18:00,15,6
18:00 - 18:10,8,4
18:10 - 18:20,10,5
18:20 - 18:30,4,3
18:30 - 18:40,3,1
18:40 - 18:50,2,1
18:50 - 19:00,1,1
19:00 - 19:10,1,1
