group_id,size,status,time_band,arrival_time,in_queue_time,service_start_time,service_time,wait_time,served_by
1,1,Served,10:20 - 10:30,10:28:51,00:00:00,10:28:51,00:01:51,00:01:51,h1
2,2,Served,10:30 - 10:40,10:30:04,00:00:00,10:30:04,00:05:42,00:05:42,k1
3,3,Served,10:40 - 10:50,10:40:49,00:00:00,10:40:49,00:01:26,00:01:26,h1
4,1,Served,10:50 - 11:00,10:51:51,00:01:45,10:53:36,00:02:54,00:04:39,h1
5,1,Served,10:50 - 11:00,10:51:31,00:00:00,10:51:31,00:05:19,00:05:19,k1
6,2,Served,10:50 - 11:00,10:52:48,00:03:42,10:56:30,00:00:39,00:04:21,h1
7,2,Served,10:50 - 11:00,10:57:40,00:00:00,10:57:40,00:01:54,00:01:54,h1
8,2,Served,10:50 - 11:00,10:50:18,00:00:00,10:50:18,00:03:18,00:03:18,h1
9,1,Served,11:00 - 11:10,11:07:38,00:02:18,11:09:56,00:01:23,00:03:41,k1
10,1,Served,11:00 - 11:10,11:01:38,00:00:00,11:01:38,00:02:19,00:02:19,k1
11,2,Served,11:00 - 11:10,11:05:34,00:03:23,11:08:57,00:00:59,00:04:22,k1
12,2,Served,11:00 - 11:10,11:04:29,00:01:45,11:06:14,00:02:34,00:04:19,h1
13,2,Served,11:00 - 11:10,11:03:52,00:00:05,11:03:57,00:02:13,00:02:18,k1
14,1,Served,11:00 - 11:10,11:09:59,00:02:19,11:12:18,00:00:53,00:03:12,h1
15,2,Served,11:00 - 11:10,11:05:01,00:03:47,11:08:48,00:03:30,00:07:17,h1
16,2,Served,11:00 - 11:10,11:00:20,00:00:00,11:00:20,00:01:31,00:01:31,h1
17,2,Served,11:00 - 11:10,11:03:43,00:00:00,11:03:43,00:02:31,00:02:31,h1
18,3,Served,11:00 - 11:10,11:08:01,00:03:18,11:11:19,00:05:25,00:08:43,k1
19,2,Served,11:00 - 11:10,11:03:52,00:02:18,11:06:10,00:02:47,00:05:05,k1
20,2,Served,11:10 - 11:20,11:16:45,00:15:23,11:32:08,00:02:29,00:17:52,k1
21,3,Served,11:10 - 11:20,11:10:01,00:03:10,11:13:11,00:02:23,00:05:33,h1
22,2,Served,11:10 - 11:20,11:17:46,00:15:34,11:33:20,00:01:10,00:16:44,h1
23,4,Served,11:10 - 11:20,11:13:25,00:03:12,11:16:37,00:05:16,00:08:28,h1
24,2,Served,11:10 - 11:20,11:12:48,00:02:46,11:15:34,00:01:03,00:03:49,h1
25,1,Served,11:10 - 11:20,11:17:56,00:16:34,11:34:30,00:01:51,00:18:25,h1
26,2,Served,11:10 - 11:20,11:16:00,00:09:02,11:25:02,00:07:06,00:16:08,k1
27,1,Served,11:10 - 11:20,11:15:21,00:06:32,11:21:53,00:05:38,00:12:10,h1
28,2,Served,11:10 - 11:20,11:19:23,00:16:58,11:36:21,00:02:29,00:19:27,h1
29,2,Served,11:10 - 11:20,11:15:27,00:07:44,11:23:11,00:01:51,00:09:35,k1
30,2,Served,11:10 - 11:20,11:16:15,00:13:34,11:29:49,00:03:31,00:17:05,h1
