time_band,groups_served,groups_rejected
10:30 - 10:40,1,0
10:40 - 10:50,2,0
10:50 - 11:00,4,0
11:00 - 11:10,9,0
11:10 - 11:20,14,0
11:20 - 11:30,7,9
11:30 - 11:40,5,15
11:40 - 11:50,8,6
11:50 - 12:00,8,2
12:00 - 12:10,4,1
12:10 - 12:20,5,0
12:20 - 12:30,5,0
12:30 - 12:40,9,0
12:40 - 12:50,11,1
12:50 - 13:00,6,6
13:00 - 13:10,5,11
13:10 - 13:20,9,9
13:20 - 13:30,8,13
13:30 - 13:40,8,10
13:40 - 13:50,8,7
13:50 - 14:00,7,6
14:00 - 14:10,6,3
14:10 - 14:20,5,0
14:20 - 14:30,5,0
14:30 - 14:40,3,0
14:40 - 14:50,3,0
14:50 - 15:00,4,0
15:00 - 15:10,5,0
15:10 - 15:20,10,0
15:20 - 15:30,9,0
15:30 - 15:40,10,0
15:40 - 15:50,11,2
15:50 - 16:00,7,4
16:00 - 16:10,6,5
16:10 - 16:20,7,3
16:20 - 16:30,7,3
16:30 - 16:40,8,0
16:40 - 16:50,5,2
16:50 - 17:00,5,2
17:00 - 17:10,10,0
17:10 - 17:20,5,4
17:20 - 17:30,7,3
17:30 - 17:40,11,1
17:40 - 17:50,8,2
17:50 - 18:00,5,1
18:00 - 18:10,4,0
18:10 - 18:20,5,0
18:20 - 18:30,3,0
18:30 - 18:40,1,0
18:40 - 18:50,1,0
18:50 - 19:00,1,0
19:00 - 19:10,1,0
