Day,Time_Block,Total_Entries
Saturday,16:20,
Saturday,16:30,
Saturday,16:40,
Saturday,16:50,
Saturday,17:00,
Saturday,17:10,
Saturday,17:20,12.0
Saturday,17:30,14.0
Saturday,17:40,7.0
Saturday,17:50,13.0
Saturday,18:00,9.0
Saturday,18:10,5.0
Saturday,18:20,5.0
Saturday,18:30,6.0
Saturday,18:40,2.0
Saturday,18:50,1.0
