group_id,service_time
17,00:00:25
21,00:05:19
23,00:02:29
24,00:05:11
27,00:02:37
31,00:01:58
41,00:05:03
45,00:01:33
48,00:03:27
52,00:04:57
53,00:03:19
59,00:02:57
63,00:01:24
75,00:02:54
80,00:01:07
82,00:06:40
83,00:02:32
84,00:01:13
85,00:03:05
93,00:02:09
95,00:02:17
102,00:04:29
103,00:01:41
105,00:02:22
113,00:02:25
114,00:02:04
118,00:02:06
121,00:04:28
124,00:02:10
125,00:02:56
134,00:05:30
138,00:04:00
145,00:02:37
152,00:06:55
155,00:02:44
159,00:01:34
160,00:01:14
162,00:04:31
163,00:02:46
171,00:01:50
178,00:03:29
185,00:03:29
193,00:02:18
195,00:07:47
201,00:01:18
204,00:02:26
213,00:02:26
215,00:01:44
216,00:03:17
222,00:00:58
227,00:03:09
233,00:01:25
236,00:02:10
238,00:01:55
252,00:04:28
264,00:03:05
266,00:02:20
271,00:04:31
276,00:02:12
277,00:02:52
280,00:01:56
282,00:03:09
287,00:02:33
293,00:01:25
294,00:05:03
298,00:02:13
301,00:01:12
318,00:00:57
324,00:02:41
325,00:05:42
327,00:02:04
331,00:01:26
342,00:01:25
343,00:03:20
344,00:03:45
347,00:07:05
352,00:01:35
359,00:01:09
362,00:03:01
365,00:01:10
366,00:01:46
368,00:02:18
372,00:01:28
375,00:06:13
376,00:03:58
388,00:03:10
390,00:02:12
391,00:02:39
397,00:06:56
398,00:02:57
401,00:03:52
411,00:00:58
412,00:02:30
418,00:04:00
427,00:05:41
428,00:01:27
437,00:05:40
438,00:03:01
448,00:02:57
451,00:05:53
456,00:03:43
463,00:02:11
466,00:04:41
467,00:01:56
480,00:02:47
482,00:01:30
483,00:02:50
489,00:01:42
490,00:03:32
494,00:01:00
497,00:04:16
