time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:30 - 10:40,2,1
10:40 - 10:50,5,3
10:50 - 11:00,9,4
11:00 - 11:10,20,14
11:10 - 11:20,31,14
11:20 - 11:30,32,13
11:30 - 11:40,39,17
11:40 - 11:50,35,15
11:50 - 12:00,28,13
12:00 - 12:10,13,8
12:10 - 12:20,12,6
12:20 - 12:30,13,8
12:30 - 12:40,18,13
12:40 - 12:50,26,11
12:50 - 13:00,30,16
13:00 - 13:10,42,18
13:10 - 13:20,40,22
13:20 - 13:30,50,21
13:30 - 13:40,43,26
13:40 - 13:50,40,20
13:50 - 14:00,33,17
14:00 - 14:10,22,10
14:10 - 14:20,11,5
14:20 - 14:30,9,6
14:30 - 14:40,8,3
14:40 - 14:50,6,2
14:50 - 15:00,12,5
15:00 - 15:10,12,6
15:10 - 15:20,18,7
15:20 - 15:30,20,9
15:30 - 15:40,22,11
15:40 - 15:50,27,15
15:50 - 16:00,24,11
16:00 - 16:10,29,13
16:10 - 16:20,22,10
16:20 - 16:30,20,12
16:30 - 16:40,18,9
16:40 - 16:50,15,7
16:50 - 17:00,15,4
17:00 - 17:10,20,10
17:10 - 17:20,17,9
17:20 - 17:30,24,16
17:30 - 17:40,22,12
17:40 - 17:50,21,10
17:50 - 18:00,15,9
18:00 - 18:10,11,4
18:10 - 18:20,9,3
18:20 - 18:30,4,1
18:30 - 18:40,4,2
18:40 - 18:50,2,1
