time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:30 - 10:40,3,1
10:40 - 10:50,3,1
10:50 - 11:00,9,3
11:00 - 11:10,20,7
11:10 - 11:20,30,10
11:20 - 11:30,33,14
11:30 - 11:40,39,13
11:40 - 11:50,34,11
11:50 - 12:00,27,9
12:00 - 12:10,14,4
12:10 - 12:20,13,5
12:20 - 12:30,14,5
12:30 - 12:40,19,6
12:40 - 12:50,25,9
12:50 - 13:00,29,10
13:00 - 13:10,42,15
13:10 - 13:20,41,12
13:20 - 13:30,52,16
13:30 - 13:40,43,16
13:40 - 13:50,40,13
13:50 - 14:00,33,9
14:00 - 14:10,22,7
14:10 - 14:20,12,3
14:20 - 14:30,10,4
14:30 - 14:40,9,3
14:40 - 14:50,4,1
14:50 - 15:00,12,5
15:00 - 15:10,12,4
15:10 - 15:20,17,5
15:20 - 15:30,21,8
15:30 - 15:40,22,6
15:40 - 15:50,24,8
15:50 - 16:00,25,9
16:00 - 16:10,28,7
16:10 - 16:20,22,6
16:20 - 16:30,21,6
16:30 - 16:40,18,8
16:40 - 16:50,16,6
16:50 - 17:00,15,5
17:00 - 17:10,22,6
17:10 - 17:20,20,6
17:20 - 17:30,23,6
17:30 - 17:40,22,7
17:40 - 17:50,20,6
17:50 - 18:00,15,4
18:00 - 18:10,10,3
18:10 - 18:20,10,3
18:20 - 18:30,5,2
18:30 - 18:40,4,1
