time_band,no_of_people,no_of_groups
10:40 - 10:50,3,1
10:50 - 11:00,10,3
11:00 - 11:10,20,6
11:10 - 11:20,27,8
11:20 - 11:30,35,10
11:30 - 11:40,41,12
11:40 - 11:50,32,11
11:50 - 12:00,27,9
12:00 - 12:10,13,5
12:10 - 12:20,13,3
12:20 - 12:30,14,4
12:30 - 12:40,17,5
12:40 - 12:50,25,8
12:50 - 13:00,30,8
13:00 - 13:10,41,12
13:10 - 13:20,40,12
13:20 - 13:30,51,16
13:30 - 13:40,45,16
13:40 - 13:50,41,15
13:50 - 14:00,33,12
14:00 - 14:10,23,8
14:10 - 14:20,14,4
14:20 - 14:30,10,4
14:30 - 14:40,8,2
14:40 - 14:50,8,2
14:50 - 15:00,10,3
15:00 - 15:10,13,4
15:10 - 15:20,16,6
15:20 - 15:30,22,6
15:30 - 15:40,24,9
15:40 - 15:50,25,9
15:50 - 16:00,24,10
16:00 - 16:10,27,8
16:10 - 16:20,21,6
16:20 - 16:30,21,8
16:30 - 16:40,19,6
16:40 - 16:50,14,5
16:50 - 17:00,14,6
17:00 - 17:10,21,6
17:10 - 17:20,17,5
17:20 - 17:30,23,7
17:30 - 17:40,22,8
17:40 - 17:50,21,7
17:50 - 18:00,14,6
18:00 - 18:10,10,3
18:10 - 18:20,9,3
18:20 - 18:30,6,2
18:30 - 18:40,3,1
18:40 - 18:50,1,1
