time_band,groups_served,groups_rejected
10:00 - 10:10,1,0
10:30 - 10:40,1,0
10:40 - 10:50,2,0
10:50 - 11:00,6,0
11:00 - 11:10,4,7
11:10 - 11:20,5,12
11:20 - 11:30,5,16
11:30 - 11:40,5,19
11:40 - 11:50,5,15
11:50 - 12:00,4,10
12:00 - 12:10,3,5
12:10 - 12:20,7,3
12:20 - 12:30,3,7
12:30 - 12:40,5,4
12:40 - 12:50,2,17
12:50 - 13:00,6,14
13:00 - 13:10,3,25
13:10 - 13:20,5,28
13:20 - 13:30,4,29
13:30 - 13:40,2,29
13:40 - 13:50,4,24
13:50 - 14:00,3,22
14:00 - 14:10,4,11
14:10 - 14:20,4,3
14:20 - 14:30,3,2
14:30 - 14:40,3,4
14:40 - 14:50,2,1
15:00 - 15:10,3,4
14:50 - 15:00,5,0
15:10 - 15:20,3,7
15:20 - 15:30,5,10
15:30 - 15:40,5,9
15:40 - 15:50,3,12
15:50 - 16:00,6,7
16:00 - 16:10,2,20
16:10 - 16:20,5,13
16:20 - 16:30,4,11
16:30 - 16:40,5,5
16:40 - 16:50,4,4
16:50 - 17:00,1,8
17:00 - 17:10,4,9
17:10 - 17:20,5,5
17:20 - 17:30,4,14
17:30 - 17:40,3,11
17:40 - 17:50,1,10
17:50 - 18:00,4,5
18:00 - 18:10,5,2
18:10 - 18:20,6,2
18:20 - 18:30,4,0
18:30 - 18:40,2,0
18:40 - 18:50,2,0
18:50 - 19:00,1,0
19:00 - 19:10,1,0
