arrival_time,in_queue_time
10:09:48,00:00:00
10:33:13,00:00:00
10:38:03,00:00:00
10:41:48,00:00:00
10:44:08,00:00:00
10:47:12,00:00:00
10:50:05,00:00:00
10:51:38,00:00:00
10:53:11,00:00:00
10:53:35,00:00:00
10:54:48,00:00:00
10:57:30,00:00:00
11:01:47,00:00:00
11:02:27,00:00:00
11:02:29,00:00:00
11:02:34,00:00:00
11:02:36,00:00:00
11:02:43,00:00:58
11:04:55,00:00:00
11:05:17,00:00:00
11:06:09,00:00:00
11:06:58,00:00:00
11:07:50,00:00:00
11:08:57,00:00:00
11:09:56,00:00:00
11:11:21,00:00:00
11:12:11,00:00:00
11:12:23,00:00:00
11:12:31,00:00:00
11:12:46,00:00:05
11:13:19,00:00:16
11:14:00,00:00:22
11:14:40,00:00:41
11:15:41,00:00:00
11:16:19,00:00:18
11:16:23,00:00:58
11:16:42,00:01:19
11:16:52,00:01:32
11:17:00,00:01:34
11:17:46,00:01:56
11:17:59,00:02:16
11:18:18,00:02:43
11:18:44,00:02:53
11:19:19,00:02:35
11:20:42,00:01:31
11:22:23,00:00:14
11:22:52,00:00:16
11:24:36,00:00:00
11:25:02,00:00:07
11:25:04,00:00:25
11:25:25,00:00:25
11:25:38,00:00:34
11:26:23,00:00:40
11:26:28,00:00:44
11:27:45,00:00:10
11:27:59,00:00:29
11:28:01,00:00:35
11:28:23,00:00:21
11:28:50,00:01:44
11:28:50,00:01:39
11:29:02,00:02:17
11:29:32,00:02:29
11:29:37,00:04:06
11:29:50,00:03:54
11:30:03,00:04:39
11:30:42,00:04:33
11:31:03,00:06:58
11:31:12,00:06:54
11:32:08,00:05:58
11:32:13,00:06:08
11:32:34,00:06:41
11:33:02,00:06:21
11:33:33,00:06:08
11:33:51,00:06:03
11:34:03,00:06:16
11:35:40,00:05:30
11:36:02,00:05:50
11:36:40,00:05:21
11:37:21,00:05:05
11:37:26,00:06:39
11:38:06,00:06:03
11:38:19,00:06:16
11:38:45,00:05:55
11:39:20,00:06:24
11:39:31,00:06:23
11:39:58,00:06:10
11:40:03,00:06:09
11:40:30,00:06:35
11:40:50,00:06:48
11:41:26,00:06:28
11:41:29,00:07:36
11:41:31,00:08:06
11:42:06,00:07:40
11:42:18,00:07:44
11:43:04,00:07:28
11:43:07,00:08:17
11:44:14,00:07:12
11:46:07,00:05:37
