time_band,no_of_people,no_of_groups
10:40 - 10:50,3,1
10:50 - 11:00,9,3
11:00 - 11:10,18,7
11:10 - 11:20,29,12
11:20 - 11:30,34,11
11:30 - 11:40,41,11
11:40 - 11:50,33,12
11:50 - 12:00,27,8
12:00 - 12:10,12,4
12:10 - 12:20,13,5
12:20 - 12:30,14,4
12:30 - 12:40,17,5
12:40 - 12:50,24,10
12:50 - 13:00,32,10
13:00 - 13:10,42,15
13:10 - 13:20,41,13
13:20 - 13:30,52,16
13:30 - 13:40,43,14
13:40 - 13:50,42,15
13:50 - 14:00,32,13
14:00 - 14:10,24,6
14:10 - 14:20,11,3
14:20 - 14:30,9,3
14:30 - 14:40,8,2
14:40 - 14:50,6,2
14:50 - 15:00,11,3
15:00 - 15:10,13,4
15:10 - 15:20,18,8
15:20 - 15:30,20,8
15:30 - 15:40,22,8
15:40 - 15:50,26,9
15:50 - 16:00,25,10
16:00 - 16:10,29,8
16:10 - 16:20,23,9
16:20 - 16:30,20,8
16:30 - 16:40,19,5
16:40 - 16:50,17,5
16:50 - 17:00,13,4
17:00 - 17:10,19,5
17:10 - 17:20,20,8
17:20 - 17:30,24,9
17:30 - 17:40,23,8
17:40 - 17:50,23,9
17:50 - 18:00,15,7
18:00 - 18:10,9,3
18:10 - 18:20,8,3
18:20 - 18:30,6,2
18:30 - 18:40,3,1
