time_slot,total_customer_groups,total_customers
10:00:00 - 10:10:00,1,3
10:20:00 - 10:30:00,1,2
10:30:00 - 10:40:00,1,3
10:40:00 - 10:50:00,1,3
10:50:00 - 11:00:00,4,9
11:00:00 - 11:10:00,8,20
11:10:00 - 11:20:00,15,27
11:20:00 - 11:30:00,14,33
11:30:00 - 11:40:00,17,36
11:40:00 - 11:50:00,13,33
11:50:00 - 12:00:00,11,24
12:00:00 - 12:10:00,5,14
12:10:00 - 12:20:00,4,10
12:20:00 - 12:30:00,5,15
12:30:00 - 12:40:00,6,17
12:40:00 - 12:50:00,14,25
12:50:00 - 13:00:00,13,29
13:00:00 - 13:10:00,18,39
13:10:00 - 13:20:00,18,38
13:20:00 - 13:30:00,23,52
13:30:00 - 13:40:00,14,44
13:40:00 - 13:50:00,22,41
14:10:00 - 14:20:00,6,14
14:20:00 - 14:30:00,6,10
14:30:00 - 14:40:00,5,10
14:40:00 - 14:50:00,4,6
14:50:00 - 15:00:00,7,12
15:00:00 - 15:10:00,5,12
15:10:00 - 15:20:00,9,16
15:20:00 - 15:30:00,11,21
15:30:00 - 15:40:00,9,22
15:40:00 - 15:50:00,7,20
15:50:00 - 16:00:00,8,21
16:00:00 - 16:10:00,10,19
16:10:00 - 16:20:00,9,18
16:40:00 - 16:50:00,8,17
16:50:00 - 17:00:00,7,15
17:00:00 - 17:10:00,13,20
17:10:00 - 17:20:00,9,19
17:20:00 - 17:30:00,10,24
17:30:00 - 17:40:00,11,22
17:40:00 - 17:50:00,8,19
17:50:00 - 18:00:00,9,16
18:00:00 - 18:10:00,6,11
18:10:00 - 18:20:00,4,9
18:20:00 - 18:30:00,3,5
18:30:00 - 18:40:00,3,5
18:40:00 - 18:50:00,1,3
18:50:00 - 19:00:00,1,1
