time_slot,total_customer_groups,total_customers
10:00:00 - 10:10:00,1,1
10:20:00 - 10:30:00,1,3
10:30:00 - 10:40:00,2,2
10:40:00 - 10:50:00,2,3
10:50:00 - 11:00:00,5,8
11:00:00 - 11:10:00,13,20
11:10:00 - 11:20:00,21,28
11:20:00 - 11:30:00,22,33
11:30:00 - 11:40:00,22,36
11:40:00 - 11:50:00,16,34
11:50:00 - 12:00:00,14,26
12:00:00 - 12:10:00,8,13
12:10:00 - 12:20:00,8,10
12:20:00 - 12:30:00,11,13
12:30:00 - 12:40:00,10,17
12:40:00 - 12:50:00,12,25
12:50:00 - 13:00:00,16,29
13:00:00 - 13:10:00,26,38
13:10:00 - 13:20:00,19,37
13:20:00 - 13:30:00,35,52
13:30:00 - 13:40:00,25,44
13:40:00 - 13:50:00,29,42
14:10:00 - 14:20:00,10,13
14:20:00 - 14:30:00,7,10
14:30:00 - 14:40:00,4,8
14:40:00 - 14:50:00,5,6
14:50:00 - 15:00:00,6,13
15:00:00 - 15:10:00,9,11
15:10:00 - 15:20:00,12,17
15:20:00 - 15:30:00,11,20
15:30:00 - 15:40:00,13,22
15:40:00 - 15:50:00,12,20
15:50:00 - 16:00:00,14,21
16:00:00 - 16:10:00,16,20
16:10:00 - 16:20:00,11,18
16:40:00 - 16:50:00,11,16
16:50:00 - 17:00:00,8,16
17:00:00 - 17:10:00,14,20
17:10:00 - 17:20:00,13,19
17:20:00 - 17:30:00,12,21
17:30:00 - 17:40:00,14,21
17:40:00 - 17:50:00,13,19
17:50:00 - 18:00:00,10,15
18:00:00 - 18:10:00,9,12
18:10:00 - 18:20:00,7,10
18:20:00 - 18:30:00,3,5
18:30:00 - 18:40:00,2,5
18:40:00 - 18:50:00,1,2
18:50:00 - 19:00:00,1,1
