time_slot,total_customer_groups,total_customers
10:00:00 - 10:10:00,1,2
10:20:00 - 10:30:00,1,2
10:30:00 - 10:40:00,1,4
10:40:00 - 10:50:00,1,3
10:50:00 - 11:00:00,4,8
11:00:00 - 11:10:00,9,19
11:10:00 - 11:20:00,12,30
11:20:00 - 11:30:00,13,33
11:30:00 - 11:40:00,14,35
11:40:00 - 11:50:00,13,32
11:50:00 - 12:00:00,10,26
12:00:00 - 12:10:00,5,13
12:10:00 - 12:20:00,6,12
12:20:00 - 12:30:00,5,13
12:30:00 - 12:40:00,7,18
12:40:00 - 12:50:00,12,24
12:50:00 - 13:00:00,12,28
13:00:00 - 13:10:00,19,38
13:10:00 - 13:20:00,15,40
13:20:00 - 13:30:00,25,52
13:30:00 - 13:40:00,22,44
13:40:00 - 13:50:00,18,41
14:10:00 - 14:20:00,5,13
14:20:00 - 14:30:00,6,10
14:30:00 - 14:40:00,5,8
14:40:00 - 14:50:00,3,7
14:50:00 - 15:00:00,5,11
15:00:00 - 15:10:00,5,12
15:10:00 - 15:20:00,6,17
15:20:00 - 15:30:00,10,21
15:30:00 - 15:40:00,10,21
15:40:00 - 15:50:00,9,21
15:50:00 - 16:00:00,9,24
16:00:00 - 16:10:00,8,19
16:10:00 - 16:20:00,11,20
16:40:00 - 16:50:00,6,16
16:50:00 - 17:00:00,8,16
17:00:00 - 17:10:00,9,21
17:10:00 - 17:20:00,9,20
17:20:00 - 17:30:00,11,23
17:30:00 - 17:40:00,9,23
17:40:00 - 17:50:00,8,19
17:50:00 - 18:00:00,6,16
18:00:00 - 18:10:00,4,10
18:10:00 - 18:20:00,5,10
18:20:00 - 18:30:00,3,6
18:30:00 - 18:40:00,3,5
18:40:00 - 18:50:00,1,2
18:50:00 - 19:00:00,1,1
