customer_group_id,group_size,entry_time,queue_wait_time,service_start_time,service_time
0,2,10:03:51,00:00:00,00:00:00,00:00:00
1,3,10:24:50,00:00:00,00:00:00,00:00:00
2,4,10:37:46,00:00:00,00:00:00,00:00:00
3,3,10:45:32,00:00:00,00:00:00,00:00:00
5,3,10:54:16,00:00:00,00:00:00,00:00:00
6,4,10:56:08,00:00:00,00:00:00,00:00:00
4,3,10:58:35,00:00:00,00:00:00,00:00:00
10,4,11:00:07,00:00:00,00:00:00,00:00:00
9,2,11:01:04,00:00:00,00:00:00,00:00:00
8,1,11:02:05,00:00:00,00:00:00,00:00:00
11,3,11:06:38,00:00:00,00:00:00,00:00:00
12,4,11:08:18,00:00:00,00:00:00,00:00:00
7,3,11:08:50,00:00:00,00:00:00,00:00:00
13,4,11:09:25,00:00:00,00:00:00,00:00:00
19,5,11:12:36,00:00:00,00:00:00,00:00:00
14,4,11:13:31,00:00:00,00:00:00,00:00:00
21,3,11:14:55,00:00:00,00:00:00,00:00:00
18,3,11:16:25,00:00:00,00:00:00,00:00:00
16,4,11:16:40,00:00:00,00:00:00,00:00:00
17,2,11:16:57,00:00:00,00:00:00,00:00:00
20,3,11:18:09,00:00:00,00:00:00,00:00:00
15,3,11:19:25,00:00:00,00:00:00,00:00:00
26,1,11:20:55,00:00:00,00:00:00,00:00:00
30,2,11:23:30,00:00:00,00:00:00,00:00:00
24,3,11:24:16,00:00:00,00:00:00,00:00:00
29,3,11:24:22,00:00:00,00:00:00,00:00:00
27,3,11:24:38,00:00:00,00:00:00,00:00:00
33,5,11:25:20,00:00:00,00:00:00,00:00:00
22,1,11:25:30,00:00:00,00:00:00,00:00:00
32,4,11:26:03,00:00:00,00:00:00,00:00:00
23,5,11:27:14,00:00:00,00:00:00,00:00:00
28,2,11:27:18,00:00:00,00:00:00,00:00:00
31,2,11:28:46,00:00:00,00:00:00,00:00:00
25,2,11:29:06,00:00:00,00:00:00,00:00:00
42,4,11:34:46,00:00:00,00:00:00,00:00:00
39,3,11:35:00,00:00:00,00:00:00,00:00:00
34,4,11:36:12,00:00:00,00:00:00,00:00:00
36,3,11:37:03,00:00:00,00:00:00,00:00:00
41,3,11:37:04,00:00:00,00:00:00,00:00:00
43,3,11:37:15,00:00:00,00:00:00,00:00:00
44,3,11:37:34,00:00:00,00:00:00,00:00:00
38,4,11:37:50,00:00:00,00:00:00,00:00:00
37,3,11:38:28,00:00:00,00:00:00,00:00:00
35,3,11:38:36,00:00:00,00:00:00,00:00:00
40,4,11:38:45,00:00:00,00:00:00,00:00:00
50,1,11:40:16,00:00:00,00:00:00,00:00:00
57,1,11:41:24,00:00:00,00:00:00,00:00:00
54,5,11:41:33,00:00:00,00:00:00,00:00:00
52,4,11:42:07,00:00:00,00:00:00,00:00:00
51,1,11:42:50,00:00:00,00:00:00,00:00:00
55,2,11:43:33,00:00:00,00:00:00,00:00:00
46,4,11:43:59,00:00:00,00:00:00,00:00:00
53,1,11:44:33,00:00:00,00:00:00,00:00:00
48,4,11:45:36,00:00:00,00:00:00,00:00:00
56,2,11:45:41,00:00:00,00:00:00,00:00:00
49,2,11:47:31,00:00:00,00:00:00,00:00:00
45,3,11:48:27,00:00:00,00:00:00,00:00:00
47,1,11:49:25,00:00:00,00:00:00,00:00:00
64,4,11:51:31,00:00:00,00:00:00,00:00:00
65,2,11:52:17,00:00:00,00:00:00,00:00:00
58,4,11:52:42,00:00:00,00:00:00,00:00:00
59,2,11:53:51,00:00:00,00:00:00,00:00:00
62,3,11:54:32,00:00:00,00:00:00,00:00:00
63,2,11:58:13,00:00:00,00:00:00,00:00:00
61,4,11:58:46,00:00:00,00:00:00,00:00:00
60,3,11:59:08,00:00:00,00:00:00,00:00:00
68,4,12:01:31,00:00:00,00:00:00,00:00:00
67,1,12:03:39,00:00:00,00:00:00,00:00:00
66,4,12:06:04,00:00:00,00:00:00,00:00:00
70,3,12:07:05,00:00:00,00:00:00,00:00:00
69,3,12:08:26,00:00:00,00:00:00,00:00:00
74,5,12:10:00,00:00:00,00:00:00,00:00:00
73,2,12:10:17,00:00:00,00:00:00,00:00:00
71,3,12:16:04,00:00:00,00:00:00,00:00:00
72,1,12:18:03,00:00:00,00:00:00,00:00:00
75,3,12:22:21,00:00:00,00:00:00,00:00:00
77,4,12:24:00,00:00:00,00:00:00,00:00:00
76,4,12:26:09,00:00:00,00:00:00,00:00:00
78,3,12:26:21,00:00:00,00:00:00,00:00:00
80,5,12:30:33,00:00:00,00:00:00,00:00:00
81,3,12:31:44,00:00:00,00:00:00,00:00:00
83,4,12:31:49,00:00:00,00:00:00,00:00:00
79,3,12:32:27,00:00:00,00:00:00,00:00:00
82,3,12:33:08,00:00:00,00:00:00,00:00:00
86,1,12:40:34,00:00:00,00:00:00,00:00:00
91,4,12:41:28,00:00:00,00:00:00,00:00:00
87,4,12:45:43,00:00:00,00:00:00,00:00:00
85,3,12:46:52,00:00:00,00:00:00,00:00:00
89,4,12:47:11,00:00:00,00:00:00,00:00:00
88,3,12:47:52,00:00:00,00:00:00,00:00:00
90,1,12:48:02,00:00:00,00:00:00,00:00:00
84,3,12:48:38,00:00:00,00:00:00,00:00:00
100,3,12:51:02,00:00:00,00:00:00,00:00:00
96,4,12:51:02,00:00:00,00:00:00,00:00:00
92,3,12:51:58,00:00:00,00:00:00,00:00:00
97,4,12:52:16,00:00:00,00:00:00,00:00:00
102,1,12:52:36,00:00:00,00:00:00,00:00:00
94,1,12:54:09,00:00:00,00:00:00,00:00:00
103,3,12:54:40,00:00:00,00:00:00,00:00:00
98,1,12:57:04,00:00:00,00:00:00,00:00:00
99,3,12:57:06,00:00:00,00:00:00,00:00:00
101,3,12:58:46,00:00:00,00:00:00,00:00:00
95,1,12:59:01,00:00:00,00:00:00,00:00:00
93,3,12:59:53,00:00:00,00:00:00,00:00:00
107,2,13:00:01,00:00:00,00:00:00,00:00:00
112,5,13:00:56,00:00:00,00:00:00,00:00:00
108,4,13:02:10,00:00:00,00:00:00,00:00:00
106,4,13:02:24,00:00:00,00:00:00,00:00:00
113,1,13:04:03,00:00:00,00:00:00,00:00:00
114,3,13:04:07,00:00:00,00:00:00,00:00:00
110,4,13:05:31,00:00:00,00:00:00,00:00:00
111,4,13:05:37,00:00:00,00:00:00,00:00:00
104,3,13:05:44,00:00:00,00:00:00,00:00:00
