time_slot,total_customer_groups,total_customers
10:00:00 - 10:10:00,1,4
10:20:00 - 10:30:00,1,2
10:30:00 - 10:40:00,1,5
10:40:00 - 10:50:00,1,3
10:50:00 - 11:00:00,3,10
11:00:00 - 11:10:00,6,19
11:10:00 - 11:20:00,10,27
11:20:00 - 11:30:00,14,33
11:30:00 - 11:40:00,12,36
11:40:00 - 11:50:00,11,32
11:50:00 - 12:00:00,8,24
12:00:00 - 12:10:00,6,16
12:10:00 - 12:20:00,4,10
12:20:00 - 12:30:00,4,13
12:30:00 - 12:40:00,6,18
12:40:00 - 12:50:00,7,25
12:50:00 - 13:00:00,9,28
13:00:00 - 13:10:00,13,38
13:10:00 - 13:20:00,13,36
13:20:00 - 13:30:00,19,54
13:30:00 - 13:40:00,15,46
13:40:00 - 13:50:00,14,41
14:10:00 - 14:20:00,6,13
14:20:00 - 14:30:00,5,10
14:30:00 - 14:40:00,4,9
14:40:00 - 14:50:00,2,7
14:50:00 - 15:00:00,5,14
15:00:00 - 15:10:00,4,13
15:10:00 - 15:20:00,5,16
15:20:00 - 15:30:00,8,20
15:30:00 - 15:40:00,6,23
15:40:00 - 15:50:00,7,22
15:50:00 - 16:00:00,8,22
16:00:00 - 16:10:00,6,21
16:10:00 - 16:20:00,7,20
16:40:00 - 16:50:00,5,16
16:50:00 - 17:00:00,7,16
17:00:00 - 17:10:00,6,22
17:10:00 - 17:20:00,8,20
17:20:00 - 17:30:00,6,22
17:30:00 - 17:40:00,9,22
17:40:00 - 17:50:00,7,19
17:50:00 - 18:00:00,6,16
18:00:00 - 18:10:00,4,11
18:10:00 - 18:20:00,5,9
18:20:00 - 18:30:00,2,6
18:30:00 - 18:40:00,1,5
18:40:00 - 18:50:00,1,2
18:50:00 - 19:00:00,1,4
