time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:30 - 10:40,2,1
10:40 - 10:50,3,3
10:50 - 11:00,9,4
11:00 - 11:10,20,11
11:10 - 11:20,29,17
11:20 - 11:30,34,19
11:30 - 11:40,40,26
11:40 - 11:50,34,23
11:50 - 12:00,27,15
12:00 - 12:10,13,6
12:10 - 12:20,12,7
12:20 - 12:30,14,10
12:30 - 12:40,18,10
12:40 - 12:50,25,15
12:50 - 13:00,30,21
13:00 - 13:10,42,25
13:10 - 13:20,40,28
13:20 - 13:30,52,36
13:30 - 13:40,44,26
13:40 - 13:50,40,27
13:50 - 14:00,32,19
14:00 - 14:10,22,14
14:10 - 14:20,13,10
14:20 - 14:30,10,4
14:30 - 14:40,8,4
14:40 - 14:50,5,3
14:50 - 15:00,11,7
15:00 - 15:10,13,6
15:10 - 15:20,18,11
15:20 - 15:30,21,10
15:30 - 15:40,21,7
15:40 - 15:50,26,16
15:50 - 16:00,25,20
16:00 - 16:10,27,17
16:10 - 16:20,22,15
16:20 - 16:30,20,10
16:30 - 16:40,17,9
16:40 - 16:50,16,10
16:50 - 17:00,14,10
17:00 - 17:10,22,13
17:10 - 17:20,19,12
17:20 - 17:30,23,12
17:30 - 17:40,22,13
17:40 - 17:50,21,11
17:50 - 18:00,14,6
18:00 - 18:10,10,5
18:10 - 18:20,10,5
18:20 - 18:30,5,4
18:30 - 18:40,4,3
18:40 - 18:50,2,1
