time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:30 - 10:40,2,1
10:40 - 10:50,2,1
10:50 - 11:00,8,2
11:00 - 11:10,19,6
11:10 - 11:20,28,9
11:20 - 11:30,34,10
11:30 - 11:40,39,12
11:40 - 11:50,34,11
11:50 - 12:00,27,10
12:00 - 12:10,12,3
12:10 - 12:20,12,4
12:20 - 12:30,14,5
12:30 - 12:40,17,5
12:40 - 12:50,24,9
12:50 - 13:00,29,10
13:00 - 13:10,42,16
13:10 - 13:20,39,14
13:20 - 13:30,52,22
13:30 - 13:40,44,18
13:40 - 13:50,40,15
13:50 - 14:00,32,9
14:00 - 14:10,23,9
14:10 - 14:20,12,4
14:20 - 14:30,9,4
14:30 - 14:40,9,4
14:40 - 14:50,8,3
14:50 - 15:00,12,4
15:00 - 15:10,12,4
15:10 - 15:20,16,4
15:20 - 15:30,20,8
15:30 - 15:40,23,6
15:40 - 15:50,24,8
15:50 - 16:00,25,8
16:00 - 16:10,27,10
16:10 - 16:20,21,6
16:20 - 16:30,20,8
16:30 - 16:40,17,6
16:40 - 16:50,16,6
16:50 - 17:00,16,7
17:00 - 17:10,19,8
17:10 - 17:20,21,6
17:20 - 17:30,24,8
17:30 - 17:40,21,6
17:40 - 17:50,22,9
17:50 - 18:00,16,6
18:00 - 18:10,9,3
18:10 - 18:20,10,3
18:20 - 18:30,7,2
18:30 - 18:40,4,1
18:40 - 18:50,3,1
