time_band,no_of_people,no_of_groups
10:30 - 10:40,3,1
10:40 - 10:50,5,1
10:50 - 11:00,7,2
11:00 - 11:10,18,6
11:10 - 11:20,27,8
11:20 - 11:30,32,9
11:30 - 11:40,41,15
11:40 - 11:50,35,11
11:50 - 12:00,27,9
12:00 - 12:10,12,5
12:10 - 12:20,11,3
12:20 - 12:30,16,5
12:30 - 12:40,18,8
12:40 - 12:50,23,8
12:50 - 13:00,30,10
13:00 - 13:10,41,12
13:10 - 13:20,41,12
13:20 - 13:30,51,18
13:30 - 13:40,44,15
13:40 - 13:50,40,15
13:50 - 14:00,34,10
14:00 - 14:10,22,7
14:10 - 14:20,13,4
14:20 - 14:30,10,3
14:30 - 14:40,9,2
14:40 - 14:50,6,2
14:50 - 15:00,12,3
15:00 - 15:10,11,3
15:10 - 15:20,19,7
15:20 - 15:30,21,7
15:30 - 15:40,23,8
15:40 - 15:50,25,9
15:50 - 16:00,24,8
16:00 - 16:10,28,11
16:10 - 16:20,24,8
16:20 - 16:30,19,5
16:30 - 16:40,17,7
16:40 - 16:50,16,5
16:50 - 17:00,15,5
17:00 - 17:10,19,5
17:10 - 17:20,19,7
17:20 - 17:30,24,8
17:30 - 17:40,24,7
17:40 - 17:50,22,9
17:50 - 18:00,15,5
18:00 - 18:10,9,4
18:10 - 18:20,9,4
18:20 - 18:30,5,2
18:30 - 18:40,5,2
