arrival_time,in_queue_time
10:30:56,00:00:00
10:45:10,00:00:00
10:48:24,00:00:00
10:54:19,00:00:00
10:55:21,00:00:00
10:55:37,00:00:00
11:02:14,00:00:00
11:02:17,00:00:00
11:03:03,00:00:00
11:03:21,00:00:36
11:04:40,00:00:00
11:04:55,00:00:56
11:05:59,00:00:21
11:06:58,00:00:17
11:10:11,00:00:00
11:11:13,00:00:00
11:12:22,00:00:00
11:12:28,00:00:06
11:12:31,00:00:05
11:13:01,00:01:38
11:13:23,00:02:25
11:14:35,00:02:50
11:15:10,00:03:21
11:15:55,00:05:39
11:16:08,00:05:51
11:16:38,00:06:11
11:21:07,00:02:55
11:21:16,00:03:41
11:23:55,00:01:08
11:24:41,00:00:33
11:25:42,00:00:22
11:26:17,00:00:38
11:26:27,00:02:02
11:26:45,00:03:24
11:26:48,00:05:26
11:26:59,00:06:18
11:27:01,00:06:24
11:30:09,00:03:20
11:30:26,00:04:45
11:31:37,00:04:20
11:35:52,00:00:16
11:36:05,00:00:03
11:36:25,00:00:27
11:36:27,00:00:49
11:37:13,00:04:56
11:37:28,00:05:18
11:39:23,00:05:51
11:39:34,00:06:52
11:39:45,00:06:45
11:42:19,00:04:47
11:43:12,00:04:07
11:43:13,00:04:52
11:44:08,00:04:11
11:44:28,00:04:57
11:44:39,00:05:15
11:45:34,00:04:27
11:45:37,00:05:41
11:46:18,00:05:04
11:47:07,00:04:56
11:48:53,00:04:16
11:49:29,00:04:19
11:50:29,00:04:13
11:50:44,00:04:18
11:51:09,00:05:30
11:52:16,00:04:48
11:53:30,00:04:48
11:53:32,00:06:13
11:55:05,00:07:08
11:55:06,00:07:22
11:55:34,00:07:48
11:55:38,00:09:15
11:57:00,00:08:09
12:00:56,00:05:39
12:01:30,00:06:21
12:01:34,00:07:18
12:07:22,00:03:29
12:11:03,00:00:16
12:14:40,00:00:00
12:18:16,00:00:00
12:18:36,00:00:00
12:21:31,00:00:00
12:23:54,00:00:00
12:26:17,00:00:00
12:27:06,00:00:00
12:28:01,00:00:00
12:29:41,00:00:00
12:30:35,00:00:00
