time_band,groups_served,groups_rejected
10:40 - 10:50,2,0
10:50 - 11:00,4,0
11:00 - 11:10,6,0
11:10 - 11:20,4,7
11:20 - 11:30,4,7
11:30 - 11:40,4,10
11:40 - 11:50,3,10
11:50 - 12:00,2,7
12:00 - 12:10,5,1
12:10 - 12:20,2,1
12:20 - 12:30,4,1
12:30 - 12:40,5,1
12:40 - 12:50,2,7
12:50 - 13:00,5,5
13:00 - 13:10,5,9
13:10 - 13:20,3,12
13:20 - 13:30,5,13
13:30 - 13:40,4,10
13:40 - 13:50,4,11
13:50 - 14:00,5,6
14:00 - 14:10,3,6
14:10 - 14:20,4,1
14:30 - 14:40,1,1
14:20 - 14:30,4,0
14:40 - 14:50,1,0
14:50 - 15:00,4,0
15:00 - 15:10,4,0
15:10 - 15:20,7,2
15:20 - 15:30,4,4
15:30 - 15:40,6,3
15:40 - 15:50,6,1
15:50 - 16:00,4,5
16:00 - 16:10,2,7
16:10 - 16:20,2,5
16:20 - 16:30,3,3
16:30 - 16:40,3,3
16:40 - 16:50,4,2
16:50 - 17:00,3,2
17:00 - 17:10,3,3
17:10 - 17:20,6,1
17:20 - 17:30,3,6
17:30 - 17:40,6,2
17:40 - 17:50,4,5
17:50 - 18:00,4,2
18:10 - 18:20,1,1
18:00 - 18:10,3,0
18:20 - 18:30,1,0
18:30 - 18:40,3,0
