group_id,service_time
8,00:03:22
21,00:01:00
23,00:01:55
24,00:06:48
31,00:06:44
37,00:02:53
40,00:18:27
65,00:02:05
74,00:01:46
79,00:02:32
94,00:08:47
106,00:01:36
108,00:02:53
122,00:04:27
127,00:03:53
129,00:02:27
132,00:01:46
142,00:02:44
146,00:02:19
147,00:02:18
154,00:03:12
163,00:02:40
164,00:01:49
168,00:03:35
176,00:03:03
185,00:06:36
188,00:03:22
195,00:02:19
198,00:01:13
199,00:04:19
209,00:01:56
227,00:10:51
232,00:07:39
239,00:01:12
246,00:02:41
256,00:01:54
258,00:06:15
288,00:05:20
292,00:02:37
302,00:02:41
320,00:05:18
323,00:06:59
326,00:05:56
343,00:01:23
344,00:01:55
346,00:05:57
349,00:03:49
358,00:02:23
370,00:03:41
375,00:01:07
380,00:03:10
381,00:02:47
395,00:02:25
407,00:02:45
410,00:01:36
420,00:02:53
426,00:01:33
431,00:02:32
436,00:01:22
438,00:01:43
