time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:30 - 10:40,2,1
10:40 - 10:50,4,1
10:50 - 11:00,8,3
11:00 - 11:10,19,10
11:10 - 11:20,30,14
11:20 - 11:30,33,13
11:30 - 11:40,42,16
11:40 - 11:50,33,14
11:50 - 12:00,26,12
12:00 - 12:10,13,6
12:10 - 12:20,11,5
12:20 - 12:30,13,5
12:30 - 12:40,18,10
12:40 - 12:50,25,12
12:50 - 13:00,30,11
13:00 - 13:10,42,20
13:10 - 13:20,40,17
13:20 - 13:30,52,22
13:30 - 13:40,44,20
13:40 - 13:50,40,18
13:50 - 14:00,32,13
14:00 - 14:10,22,10
14:10 - 14:20,13,5
14:20 - 14:30,11,3
14:30 - 14:40,7,3
14:40 - 14:50,7,3
14:50 - 15:00,10,4
15:00 - 15:10,11,5
15:10 - 15:20,19,9
15:20 - 15:30,21,10
15:30 - 15:40,22,9
15:40 - 15:50,25,13
15:50 - 16:00,24,12
16:00 - 16:10,28,15
16:10 - 16:20,21,10
16:20 - 16:30,19,9
16:30 - 16:40,17,6
16:40 - 16:50,16,7
16:50 - 17:00,16,6
17:00 - 17:10,20,9
17:10 - 17:20,19,10
17:20 - 17:30,26,10
17:30 - 17:40,22,9
17:40 - 17:50,22,10
17:50 - 18:00,14,6
18:00 - 18:10,9,4
18:10 - 18:20,11,6
18:20 - 18:30,6,2
18:30 - 18:40,4,2
18:40 - 18:50,1,1
