time_band,groups_served,groups_rejected
10:00 - 10:10,1,0
10:30 - 10:40,1,0
10:40 - 10:50,2,0
10:50 - 11:00,7,0
11:00 - 11:10,11,0
11:10 - 11:20,20,0
11:20 - 11:30,9,14
11:30 - 11:40,12,11
11:40 - 11:50,9,11
11:50 - 12:00,10,5
12:00 - 12:10,9,0
12:10 - 12:20,6,0
12:20 - 12:30,9,0
12:30 - 12:40,12,0
12:40 - 12:50,11,0
12:50 - 13:00,14,2
13:00 - 13:10,9,15
13:10 - 13:20,14,11
13:20 - 13:30,10,18
13:30 - 13:40,12,14
13:40 - 13:50,8,15
13:50 - 14:00,7,12
14:00 - 14:10,11,5
14:10 - 14:20,7,0
14:20 - 14:30,6,0
14:30 - 14:40,4,0
14:40 - 14:50,5,0
14:50 - 15:00,6,0
15:00 - 15:10,7,0
15:10 - 15:20,14,0
15:20 - 15:30,10,0
15:30 - 15:40,12,0
15:40 - 15:50,18,1
15:50 - 16:00,12,4
16:00 - 16:10,9,5
16:10 - 16:20,9,4
16:20 - 16:30,12,2
16:30 - 16:40,6,3
16:40 - 16:50,9,0
16:50 - 17:00,8,0
17:00 - 17:10,13,0
17:10 - 17:20,13,0
17:20 - 17:30,18,0
17:30 - 17:40,14,0
17:40 - 17:50,12,4
17:50 - 18:00,10,0
18:00 - 18:10,6,0
18:10 - 18:20,7,0
18:20 - 18:30,3,0
18:30 - 18:40,2,0
18:40 - 18:50,1,0
19:00 - 19:10,1,0
