time_band,groups_served,groups_rejected
10:30 - 10:40,1,0
10:40 - 10:50,2,0
10:50 - 11:00,7,0
11:00 - 11:10,14,0
11:10 - 11:20,18,0
11:20 - 11:30,15,9
11:30 - 11:40,8,16
11:40 - 11:50,12,9
11:50 - 12:00,8,10
12:00 - 12:10,8,1
12:20 - 12:30,9,2
12:10 - 12:20,8,0
12:30 - 12:40,9,3
12:40 - 12:50,6,9
12:50 - 13:00,12,6
13:00 - 13:10,8,16
13:10 - 13:20,12,13
13:20 - 13:30,10,22
13:30 - 13:40,7,18
13:40 - 13:50,12,13
13:50 - 14:00,9,17
14:00 - 14:10,9,5
14:10 - 14:20,9,0
14:20 - 14:30,6,0
14:30 - 14:40,5,0
14:40 - 14:50,3,0
14:50 - 15:00,8,0
15:00 - 15:10,8,0
15:10 - 15:20,11,0
15:20 - 15:30,12,0
15:30 - 15:40,12,0
15:40 - 15:50,16,0
15:50 - 16:00,12,5
16:00 - 16:10,10,8
16:10 - 16:20,9,3
16:20 - 16:30,11,4
16:30 - 16:40,8,2
16:40 - 16:50,12,0
16:50 - 17:00,9,3
17:00 - 17:10,9,0
17:10 - 17:20,8,0
17:20 - 17:30,12,0
17:40 - 17:50,13,3
17:30 - 17:40,12,0
17:50 - 18:00,11,0
18:00 - 18:10,6,0
18:10 - 18:20,4,0
18:20 - 18:30,4,0
18:30 - 18:40,2,0
18:40 - 18:50,1,0
18:50 - 19:00,1,0
19:00 - 19:10,1,0
